text,toxic,severe_toxic,obscene,threat,insult,identity_hate
yes dog,0.1858643,0.002959056,0.03824492,0.005399681,0.07069551,0.009568654
yeah ,0.10624769,0.0023848314,0.02194174,0.0044376925,0.045944843,0.006621029
idiot drow,0.9606549,0.097992845,0.79032683,0.03650165,0.6618454,0.10032973
no idiot,0.9606549,0.09799287,0.79032683,0.03650165,0.6618454,0.10032979
sad,0.24720964,0.005081956,0.057839666,0.009451371,0.10427036,0.014501828
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
g,0.12168441,0.002676229,0.02556762,0.005013345,0.0523832,0.0074415477
vac d o l b a e b,0.039047908,0.0010036032,0.007244432,0.0018519714,0.017251005,0.0028400442
профиль глянь :D,0.093278885,0.0021693902,0.018928837,0.0041391933,0.041258473,0.005984206
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
report troll,0.41584063,0.0075059514,0.110949,0.013731292,0.17724966,0.024102686
.l.,0.13996476,0.0031185732,0.029596973,0.00591938,0.06037857,0.008572985
FUCK,0.99269366,0.25759593,0.9565781,0.041219115,0.84497494,0.14285128
SAD,0.24720964,0.005081956,0.057839666,0.009451371,0.10427036,0.014501828
report,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
so ya mama likes dick ehh?,0.9479739,0.09011078,0.7367591,0.042426653,0.629053,0.102634035
figures,0.032438442,0.0008233884,0.0061330586,0.0014817289,0.014755723,0.0023275942
fucking reported axe,0.9907436,0.21122234,0.9480832,0.034242243,0.8231169,0.12499949
sorry nex,0.026638148,0.0006714176,0.0049405913,0.0011925664,0.012052263,0.001949572
i killed u ,0.62291825,0.015128085,0.21559876,0.02128902,0.27935606,0.03871517
WORST HOOK IN HISTORY,0.24806601,0.0037324615,0.055849113,0.0064636003,0.09387535,0.012241707
ur not even a good hooker kid,0.3066585,0.005522119,0.07491771,0.009926938,0.123425044,0.017470013
YOU THOUGHT,0.05499576,0.0012782448,0.010624766,0.002346451,0.024226896,0.003602812
IM THE #1 ROAMER NA,0.38642308,0.007959555,0.10321691,0.014847389,0.16791533,0.023720713
STUPID!,0.9664717,0.1080687,0.8140112,0.03737418,0.6831227,0.10387104
report!!!!!!!!!!!!!!!!!@!!!!!!!~!!!!!!!!!!!!!!~!,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
nice ult medusa,0.0807461,0.001928955,0.016207524,0.0035876245,0.035746753,0.0052063293
what is the best soup?,0.024941431,0.00063695654,0.004616754,0.0011351245,0.011407493,0.001837723
ez game,0.023195935,0.00062788004,0.004334374,0.0011304688,0.010886897,0.0017849513
I guess,0.056055646,0.001376079,0.010980023,0.002554274,0.025107633,0.0038074178
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
nice random ... lol,0.09122514,0.0018245495,0.017338872,0.0033649348,0.037247147,0.005410496
PUSH,0.09740547,0.0022412008,0.01978036,0.0042309063,0.042682383,0.006151199
dont roam mid more,0.26498502,0.005408098,0.062317103,0.010103036,0.11186414,0.01560705
man that silence on axe,0.31826368,0.006541561,0.08024929,0.012250048,0.13660528,0.0192684
YEAH,0.10624769,0.0023848314,0.02194174,0.0044376925,0.045944843,0.006621029
WELL PLAYED,0.050564095,0.001287661,0.009810943,0.0023947104,0.023078077,0.0035188943
GEGE GUYS,0.21981758,0.0045393645,0.050094783,0.008440393,0.09238109,0.012896893
free farming ls,0.065424964,0.0015803102,0.0129000675,0.0029543738,0.029307496,0.0043375418
not coming into play,0.09571304,0.0022746464,0.019102523,0.0043937257,0.04222584,0.0062594684
SAD,0.24720964,0.005081956,0.057839666,0.009451371,0.10427036,0.014501828
let end,0.019723326,0.00055276154,0.003604351,0.0009826884,0.009174108,0.0015688095
storm fat yet,0.85469794,0.03966893,0.48647678,0.030119332,0.45716703,0.06555648
Y,0.13346212,0.002917396,0.028270945,0.0054841256,0.057337888,0.008171627
u lost 4v4,0.24077581,0.0036332686,0.05167968,0.0062515894,0.08657566,0.012198632
ok,0.031841904,0.0007757602,0.0059258197,0.001389008,0.014271473,0.0022270796
U useless anyways,0.7584013,0.026824214,0.34289005,0.028008163,0.36521035,0.0532804
does it matter,0.024201354,0.0006580173,0.004510754,0.001189438,0.011370079,0.001866401
YEAH,0.10624769,0.0023848314,0.02194174,0.0044376925,0.045944843,0.006621029
DO I CARE,0.0917165,0.0020900995,0.018761575,0.003895483,0.03997991,0.0057664025
cant seem to hit a singel call,0.10395521,0.0024020348,0.021199826,0.0045580086,0.04538196,0.006652242
still didnt hirt,0.10580965,0.0024287112,0.021618893,0.004574127,0.04583687,0.00665464
YOU BETTER CALL YOUR MOM OD,0.04898143,0.0012217101,0.009569862,0.0022579653,0.022213433,0.0033706338
U NEED HER BREASTFEED,0.26581606,0.004045028,0.059381597,0.0069199973,0.097334936,0.013439296
better share hero contorl,0.013967985,0.00034962286,0.0024277095,0.000591079,0.006145276,0.0010484098
might start hitting ur Q,0.42271337,0.0075534224,0.11107936,0.014169602,0.18050393,0.02425828
fuckING,0.9937171,0.2761875,0.96227187,0.04141143,0.855975,0.14554755
I DONT KNOW Q BRUH?,0.15478933,0.0030543504,0.032765333,0.00563986,0.06381695,0.008982266
I PLAY LEGACY,0.11124906,0.0026256396,0.022746608,0.0050571137,0.048743267,0.0071116574
wants to farm,0.032252222,0.000858838,0.0061052307,0.0015723371,0.014976249,0.0024138729
u play LOL,0.5760376,0.013445278,0.19072683,0.020432968,0.25302416,0.036939375
END,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
Die btich,0.837725,0.03685879,0.45432827,0.030076047,0.43734103,0.06361795
END,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
oh,0.2544728,0.005189203,0.06013909,0.009611558,0.107381836,0.014922343
my god,0.21854831,0.004650806,0.04919154,0.00888471,0.09273886,0.01314908
oh my god,0.2975166,0.0061151343,0.07252916,0.011676474,0.12746644,0.018069586
oh,0.2544728,0.005189203,0.06013909,0.009611558,0.107381836,0.014922343
Fucking god,0.99304235,0.26381508,0.9592883,0.04057853,0.84748924,0.14257209
I GOT YOU,0.15660165,0.0033931744,0.033977475,0.006359297,0.067238875,0.009528483
WER R U OD,0.65192103,0.017334394,0.23859009,0.02309156,0.296999,0.04195135
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
bastard party,0.9772743,0.10213208,0.87379265,0.024788978,0.7177509,0.08982212
prosto est' igroki v moey komande,0.032149293,0.0008125238,0.006053068,0.0014703304,0.014601133,0.0023062385
remember me last game,0.01679092,0.00048147922,0.0030404099,0.0008594876,0.008009383,0.0013824182
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
then dont def? xD,0.26498502,0.005408098,0.062317103,0.010103036,0.11186414,0.01560705
hi axe ,0.025902377,0.00068309053,0.004818244,0.0012237285,0.011925373,0.0019491897
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
nca game,0.023195932,0.00062788004,0.0043343757,0.0011304693,0.010886897,0.001784952
